S/N,STATE,SENATORIAL ZONE,LGA,WARD,PU,DELIMITATION
1,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KATAKO,31/01/01/001
2,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ST. MARKS PRIM. SCH. I,31/01/01/002
3,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE,31/01/01/003
4,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE TASHA 1,31/01/01/004
5,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI 1,31/01/01/005
6,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI  11,31/01/01/006
7,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,TAKWOK/KWOK,31/01/01/007
8,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ANGWAN SARKI,31/01/01/008
9,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,SABON LAYI 1,31/01/01/009
10,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,SABON LAYI 11,31/01/01/010
11,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAFI ABU,31/01/01/011
12,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KASHANGWOL,31/01/01/012
13,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ST. MARKS PRIM. SCH. 11,31/01/01/013
14,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE TASHA 11,31/01/01/014
15,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI 111,31/01/01/015
16,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,GASSA EKAN SCHOOL,31/01/02/001
17,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,JAL VILLAGE,31/01/02/002
18,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,SHO VILLAGE,31/01/02/003
19,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,BEL VILLAGE,31/01/02/004
20,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,REHOOT,31/01/02/005
21,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,RARING,31/01/02/006
22,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,RAKUNG VILLAGE,31/01/02/007
23,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,RAHWOL VILLAGE,31/01/02/008
24,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,NDING GASSA,31/01/02/009
25,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,LEA PRIM. SCHOOL,31/01/02/010
26,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,RANTIS VILLAGE,31/01/03/001
27,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,RUKU VILLAGE,31/01/03/002
28,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,TANTI BABA I,31/01/03/003
29,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,TANTI BABA II,31/01/03/004
30,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,MAIYANGA TOWN,31/01/03/005
31,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,KYARANG VILLAGE,31/01/03/006
32,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,EXLANDS L.S.B,31/01/03/007
33,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,EXLANDS 1,31/01/03/008
34,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,NGAR VILLAGE,31/01/03/009
35,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,YELWA GINDI,31/01/03/010
36,PLATEAU,NORTHERN,BARIKIN LADI,Gindin akwati,EXLANDS 11,31/01/03/011
37,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,FWOMOL PRIM. SCHOOL,31/01/04/001
38,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,BAN VILLAGE,31/01/04/002
39,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,DAN MANGU,31/01/04/003
40,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,TOKANG 1,31/01/04/004
41,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,TAGBAM I,31/01/04/005
42,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,TAGBAM II,31/01/04/006
43,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,KOBANG,31/01/04/007
44,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,CHIT VILLAGE,31/01/04/008
45,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,TATU VILLAGE,31/01/04/009
46,PLATEAU,NORTHERN,BARIKIN LADI,Heipang,TOKANG 11,31/01/04/010
47,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,KAPWEN VILLAGE,31/01/05/001
48,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,ZARON VILLAGE 1,31/01/05/002
49,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,ZARON VILLAGE 11,31/01/05/003
50,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,BAK VILLAGE,31/01/05/004
51,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,ZAKUPANG,31/01/05/005
52,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,DORONG,31/01/05/006
53,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,REBET,31/01/05/007
54,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,BAKIN KOGI PRIM. SCHOOL  I,31/01/05/008
55,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,KET VILLAGE,31/01/05/009
56,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,PATIKO VILLAGE 1,31/01/05/010
57,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,VAT NJONG,31/01/05/011
58,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,KAKPWIS LOH,31/01/05/012
59,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,PANDADI 1,31/01/05/013
60,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,BAKIN KOGI PRIM. SCHOOL II,31/01/05/014
61,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,PATIKO VILLAGE 11,31/01/05/015
62,PLATEAU,NORTHERN,BARIKIN LADI,Kapwis,PANDADI 11,31/01/05/016
63,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,ST. MATTHEWS KURRA FALLS,31/01/06/001
64,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,ST. PATRICKS KURRA FALLS,31/01/06/002
65,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,ZAKAREK VILLAGE,31/01/06/003
66,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,KACHING VILLAGE,31/01/06/004
67,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,KAKURUK VILLAGE,31/01/06/005
68,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,GASHISHKUK/MAKOLI,31/01/06/006
69,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,GYO DOGO VILLAGE,31/01/06/007
70,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,KWABIDUK,31/01/06/008
71,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,KUZEN PRIM. SCHOL,31/01/06/009
72,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,GASHISH KUK/MAKOLI,31/01/06/010
73,PLATEAU,NORTHERN,BARIKIN LADI,Kurra falls,KURA BIROM VILLAGE,31/01/06/011
74,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,LOBIRING VILLAGE,31/01/07/001
75,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,GAFAT VILLAGE,31/01/07/002
76,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,WEREH VILLAGE,31/01/07/003
77,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,DOROWA BABUJE 1,31/01/07/004
78,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,RAPWOMOL,31/01/07/005
79,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,JOK VILLAGE,31/01/07/006
80,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,LOHALA,31/01/07/007
81,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,BWOM,31/01/07/008
82,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,BET VILLAGE,31/01/07/009
83,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,DOROWA BABUJE II,31/01/07/010
84,PLATEAU,NORTHERN,BARIKIN LADI,Lobiring,DOROWA BABUJE III,31/01/07/011
85,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,GANANDAJI TOWN,31/01/08/001
86,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,MAZAT,31/01/08/002
87,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,GANA ROPP TOWN I,31/01/08/003
88,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,MARIT TOWN 1,31/01/08/004
89,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,MARIT TOWN 11,31/01/08/005
90,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,TUDUN MAZAT VILLAGE,31/01/08/006
91,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,MANJOHOTA TOWN,31/01/08/007
92,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,BUKA BAKWAI TOWN,31/01/08/008
93,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,GANA ROPP TOWN 11,31/01/08/009
94,PLATEAU,NORTHERN,BARIKIN LADI,Marit/mazat,MARIT TOWN III,31/01/08/010
95,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,RITE RAZEK,31/01/09/001
96,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,RAFAN RAKU RABWAK,31/01/09/002
97,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,RAWURU PRIM. SCHOOL,31/01/09/003
98,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,NDING SUSUT,31/01/09/004
99,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,RASHWEI,31/01/09/005
100,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,NAFAN DREDGE/HYELONG,31/01/09/006
101,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,BARAKIN JOJI,31/01/09/007
102,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,KANGASHO VILLAGE,31/01/09/008
103,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,NDING PRI. SCH,31/01/09/009
104,PLATEAU,NORTHERN,BARIKIN LADI,Rafan,NYARWA,31/01/09/010
105,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,DOROWA TSOHO,31/01/10/001
106,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,BAWAN DODO,31/01/10/002
107,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,SHALLUM RABWAK,31/01/10/003
108,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,NFABON I,31/01/10/004
109,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,BEDURUM,31/01/10/005
110,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,BATABASIR I,31/01/10/006
111,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,BATABASIR II,31/01/10/007
112,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,JANKOP NZIRING,31/01/10/008
113,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,GARA KUGOT,31/01/10/009
114,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,SHAMASHOK/TUSUNG,31/01/10/010
115,PLATEAU,NORTHERN,BARIKIN LADI,Tafan,TAPWANG FAN LOH,31/01/10/011
116,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,ZABOT VILLAGE,31/01/11/001
117,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,NEWO VILLAGE,31/01/11/002
118,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,FORON EKAN,31/01/11/003
119,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,KAMANG VILLAGE,31/01/11/004
120,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,ZARGUN VILLAGE,31/01/11/005
121,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,RUNG RATSAT,31/01/11/006
122,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,SABON GIDAN FORON,31/01/11/007
123,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,MAI IDON TARO 1,31/01/11/008
124,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,MAI IDON TARO 11,31/01/11/009
125,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,ROH RARUNG,31/01/11/010
126,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,BISICHI TOWN,31/01/11/011
127,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,UDE,31/01/11/012
128,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,RAT VILLAGE,31/01/11/013
129,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,BWARA FOH,31/01/11/014
130,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,DALO MEMORIAL,31/01/11/015
131,PLATEAU,NORTHERN,BARIKIN LADI,Zabot,BISICHI TOWN 11,31/01/11/016
132,PLATEAU,NORTHERN,BASSA,Buhit,JEBBU BASSA I,31/02/01/001
133,PLATEAU,NORTHERN,BASSA,Buhit,KISSALOI I,31/02/01/002
134,PLATEAU,NORTHERN,BASSA,Buhit,KISSALOI II,31/02/01/003
135,PLATEAU,NORTHERN,BASSA,Buhit,KISAHYIP,31/02/01/004
136,PLATEAU,NORTHERN,BASSA,Buhit,METHODIST,31/02/01/005
137,PLATEAU,NORTHERN,BASSA,Buhit,KASKADI I,31/02/01/006
138,PLATEAU,NORTHERN,BASSA,Buhit,LOW-COST,31/02/01/007
139,PLATEAU,NORTHERN,BASSA,Buhit,BISSAU I,31/02/01/008
140,PLATEAU,NORTHERN,BASSA,Buhit,DOGON DAJI,31/02/01/009
141,PLATEAU,NORTHERN,BASSA,Buhit,SCH. FOR THE DEAF,31/02/01/010
142,PLATEAU,NORTHERN,BASSA,Buhit,DERIBA,31/02/01/011
143,PLATEAU,NORTHERN,BASSA,Buhit,CINEMA I,31/02/01/012
144,PLATEAU,NORTHERN,BASSA,Buhit,G.S.S. BASSA,31/02/01/013
145,PLATEAU,NORTHERN,BASSA,Buhit,JEBBU BASSA II,31/02/01/014
146,PLATEAU,NORTHERN,BASSA,Buhit,JEBBU BASSA  III,31/02/01/015
147,PLATEAU,NORTHERN,BASSA,Buhit,"KASSAKAD ""B""",31/02/01/016
148,PLATEAU,NORTHERN,BASSA,Buhit,BISSAU II,31/02/01/017
149,PLATEAU,NORTHERN,BASSA,Buhit,CINEMA II,31/02/01/018
150,PLATEAU,NORTHERN,BASSA,Buhit,CINEMA III,31/02/01/019
151,PLATEAU,NORTHERN,BASSA,Buhit,CINEMA IV,31/02/01/020
152,PLATEAU,NORTHERN,BASSA,Buhit,G.S.S. BASSA II,31/02/01/021
153,PLATEAU,NORTHERN,BASSA,Buhit,G.S.S. BASSA III,31/02/01/022
154,PLATEAU,NORTHERN,BASSA,Buji,BINTIRI,31/02/02/001
155,PLATEAU,NORTHERN,BASSA,Buji,RUNFAM GWAMNA,31/02/02/002
156,PLATEAU,NORTHERN,BASSA,Buji,ZUKKU,31/02/02/003
157,PLATEAU,NORTHERN,BASSA,Buji,HOWL BUJI,31/02/02/004
158,PLATEAU,NORTHERN,BASSA,Buji,TILLA,31/02/02/005
159,PLATEAU,NORTHERN,BASSA,Buji,TUMU,31/02/02/006
160,PLATEAU,NORTHERN,BASSA,Gabia,GABIA  I,31/02/03/001
161,PLATEAU,NORTHERN,BASSA,Gabia,GABIA II,31/02/03/002
162,PLATEAU,NORTHERN,BASSA,Gabia,TAAVU I,31/02/03/003
163,PLATEAU,NORTHERN,BASSA,Gabia,TAAVU II,31/02/03/004
164,PLATEAU,NORTHERN,BASSA,Gabia,KPASHO,31/02/03/005
165,PLATEAU,NORTHERN,BASSA,Gurum,TARYA,31/02/04/001
166,PLATEAU,NORTHERN,BASSA,Gurum,GURUM HAUSAWA,31/02/04/002
167,PLATEAU,NORTHERN,BASSA,Gurum,FARIN LAMBA I,31/02/04/003
168,PLATEAU,NORTHERN,BASSA,Gurum,FARIN LAMBA II,31/02/04/004
169,PLATEAU,NORTHERN,BASSA,Gurum,JANTUDU,31/02/04/005
170,PLATEAU,NORTHERN,BASSA,Gurum,MISTAALI I,31/02/04/006
171,PLATEAU,NORTHERN,BASSA,Gurum,TUDUN MINTA,31/02/04/007
172,PLATEAU,NORTHERN,BASSA,Gurum,MISTAALI II,31/02/04/008
173,PLATEAU,NORTHERN,BASSA,Jengre,ANGUWAN MISSION I,31/02/05/001
174,PLATEAU,NORTHERN,BASSA,Jengre,PAN. DAUDA,31/02/05/002
175,PLATEAU,NORTHERN,BASSA,Jengre,TASHAN NAMADI,31/02/05/003
176,PLATEAU,NORTHERN,BASSA,Jengre,FULOTI,31/02/05/004
177,PLATEAU,NORTHERN,BASSA,Jengre,UDAZU,31/02/05/005
178,PLATEAU,NORTHERN,BASSA,Jengre,KAKUNKA,31/02/05/006
179,PLATEAU,NORTHERN,BASSA,Jengre,KADAMO,31/02/05/007
180,PLATEAU,NORTHERN,BASSA,Jengre,FADAMAN SHANU,31/02/05/008
181,PLATEAU,NORTHERN,BASSA,Jengre,ANGUWAN GABAS I,31/02/05/009
182,PLATEAU,NORTHERN,BASSA,Jengre,ANGUWAN GABAS II,31/02/05/010
183,PLATEAU,NORTHERN,BASSA,Jengre,CAMP. B,31/02/05/011
184,PLATEAU,NORTHERN,BASSA,Jengre,CO-OPERATIVE I,31/02/05/012
185,PLATEAU,NORTHERN,BASSA,Jengre,CO-OPERATIVE II,31/02/05/013
186,PLATEAU,NORTHERN,BASSA,Jengre,SARKIN SHAU,31/02/05/014
187,PLATEAU,NORTHERN,BASSA,Jengre,KALAMBAI,31/02/05/015
188,PLATEAU,NORTHERN,BASSA,Jengre,ANGUWAN MISSION II,31/02/05/016
189,PLATEAU,NORTHERN,BASSA,Kadamo,KATAKO I,31/02/06/001
190,PLATEAU,NORTHERN,BASSA,Kadamo,KADELLE I,31/02/06/002
191,PLATEAU,NORTHERN,BASSA,Kadamo,KADELLE II,31/02/06/003
192,PLATEAU,NORTHERN,BASSA,Kadamo,KWAFA,31/02/06/004
193,PLATEAU,NORTHERN,BASSA,Kadamo,KAMARA,31/02/06/005
194,PLATEAU,NORTHERN,BASSA,Kadamo,MAJAJA,31/02/06/006
195,PLATEAU,NORTHERN,BASSA,Kadamo,KATAKO II,31/02/06/007
196,PLATEAU,NORTHERN,BASSA,Kakkek,BINANGO,31/02/07/001
197,PLATEAU,NORTHERN,BASSA,Kakkek,IGBAK,31/02/07/002
198,PLATEAU,NORTHERN,BASSA,Kakkek,BASSAN HAUSAWA,31/02/07/003
199,PLATEAU,NORTHERN,BASSA,Kakkek,KIHANG,31/02/07/004
200,PLATEAU,NORTHERN,BASSA,Kakkek,DUTSEN KURA,31/02/07/005
201,PLATEAU,NORTHERN,BASSA,Kakkek,KATUMAI,31/02/07/006
202,PLATEAU,NORTHERN,BASSA,Kakkek,PHASE II,31/02/07/007
203,PLATEAU,NORTHERN,BASSA,Kakkek,ZAGUN HAUSAWA I,31/02/07/008
204,PLATEAU,NORTHERN,BASSA,Kakkek,IDIRE KASARI,31/02/07/009
205,PLATEAU,NORTHERN,BASSA,Kakkek,KURIK,31/02/07/010
206,PLATEAU,NORTHERN,BASSA,Kakkek,IGBAJI,31/02/07/011
207,PLATEAU,NORTHERN,BASSA,Kakkek,BINANGO,31/02/07/012
208,PLATEAU,NORTHERN,BASSA,Kakkek,PHASE II,31/02/07/013
209,PLATEAU,NORTHERN,BASSA,Kakkek,ZAGUN HAUSAWA II,31/02/07/014
210,PLATEAU,NORTHERN,BASSA,Kasuru,FICHIZA I,31/02/08/001
211,PLATEAU,NORTHERN,BASSA,Kasuru,FICHIZA II,31/02/08/002
212,PLATEAU,NORTHERN,BASSA,Kasuru,FULOTI I,31/02/08/003
213,PLATEAU,NORTHERN,BASSA,Kasuru,FULOTI II,31/02/08/004
214,PLATEAU,NORTHERN,BASSA,Kasuru,AMO JANJI,31/02/08/005
215,PLATEAU,NORTHERN,BASSA,Kasuru,NANLI,31/02/08/006
216,PLATEAU,NORTHERN,BASSA,Kimakpa,MAIYANGA,31/02/09/001
217,PLATEAU,NORTHERN,BASSA,Kimakpa,ORREE DAM,31/02/09/002
218,PLATEAU,NORTHERN,BASSA,Kimakpa,TINJE I,31/02/09/003
219,PLATEAU,NORTHERN,BASSA,Kimakpa,DAN MANGU ZODU,31/02/09/004
220,PLATEAU,NORTHERN,BASSA,Kimakpa,TINJE II,31/02/09/005
221,PLATEAU,NORTHERN,BASSA,Kimakpa,DUNDU,31/02/09/006
222,PLATEAU,NORTHERN,BASSA,Kimakpa,DAN MANGU II,31/02/09/007
223,PLATEAU,NORTHERN,BASSA,Kimakpa,DAN MANGU III,31/02/09/008
224,PLATEAU,NORTHERN,BASSA,Kishika,BINCHIN I,31/02/10/001
225,PLATEAU,NORTHERN,BASSA,Kishika,BINCHIN II,31/02/10/002
226,PLATEAU,NORTHERN,BASSA,Kishika,KISHIKA I,31/02/10/003
227,PLATEAU,NORTHERN,BASSA,Kishika,KISANCHI,31/02/10/004
228,PLATEAU,NORTHERN,BASSA,Kishika,BUYO,31/02/10/005
229,PLATEAU,NORTHERN,BASSA,Kishika,KASAKUK,31/02/10/006
230,PLATEAU,NORTHERN,BASSA,Kishika,KUMEL,31/02/10/007
231,PLATEAU,NORTHERN,BASSA,Kishika,KISHIKA II,31/02/10/008
232,PLATEAU,NORTHERN,BASSA,Kishika,KISHI 1,31/02/10/009
233,PLATEAU,NORTHERN,BASSA,Kishika,KISHI 11,31/02/10/010
234,PLATEAU,NORTHERN,BASSA,Kishika,KISHI 111,31/02/10/011
235,PLATEAU,NORTHERN,BASSA,Mafara,MAFARA,31/02/11/001
236,PLATEAU,NORTHERN,BASSA,Mafara,IBANDI,31/02/11/002
237,PLATEAU,NORTHERN,BASSA,Mafara,UKAYA,31/02/11/003
238,PLATEAU,NORTHERN,BASSA,Mafara,ACHASARA,31/02/11/004
239,PLATEAU,NORTHERN,BASSA,Mafara,UGI,31/02/11/005
240,PLATEAU,NORTHERN,BASSA,Mafara,ANDAH,31/02/11/006
241,PLATEAU,NORTHERN,BASSA,Mafara,ABANIZARA,31/02/11/007
242,PLATEAU,NORTHERN,BASSA,Rimi,CHOKOBO,31/02/12/001
243,PLATEAU,NORTHERN,BASSA,Rimi,TIDERE,31/02/12/002
244,PLATEAU,NORTHERN,BASSA,Rimi,KABAKE,31/02/12/003
245,PLATEAU,NORTHERN,BASSA,Rimi,BAKIN KOGI,31/02/12/004
246,PLATEAU,NORTHERN,BASSA,Rimi,GIMI,31/02/12/005
247,PLATEAU,NORTHERN,BASSA,Rimi,FADI SONKO,31/02/12/006
248,PLATEAU,NORTHERN,BASSA,Rimi,BUGU,31/02/12/007
249,PLATEAU,NORTHERN,BASSA,Rimi,REMA,31/02/12/008
250,PLATEAU,NORTHERN,BASSA,Taagbe,KITAGO I,31/02/13/001
251,PLATEAU,NORTHERN,BASSA,Taagbe,TA AGBE I,31/02/13/002
252,PLATEAU,NORTHERN,BASSA,Taagbe,TA AGBE II,31/02/13/003
253,PLATEAU,NORTHERN,BASSA,Taagbe,HUKKE,31/02/13/004
254,PLATEAU,NORTHERN,BASSA,Taagbe,KPARA,31/02/13/005
255,PLATEAU,NORTHERN,BASSA,Taagbe,KITAGO II,31/02/13/006
256,PLATEAU,NORTHERN,BASSA,Taagbe,NKIEDONRO,31/02/13/007
257,PLATEAU,NORTHERN,BASSA,Tahu,CHINYE I,31/02/14/001
258,PLATEAU,NORTHERN,BASSA,Tahu,KWASHA,31/02/14/002
259,PLATEAU,NORTHERN,BASSA,Tahu,CHINYE II,31/02/14/003
260,PLATEAU,NORTHERN,BASSA,Tahu,JEBBU MIANGO,31/02/14/004
261,PLATEAU,NORTHERN,BASSA,Tahu,ARIRI,31/02/14/005
262,PLATEAU,NORTHERN,BASSA,Tahu,KWASHA,31/02/14/006
263,PLATEAU,NORTHERN,BASSA,Zabolo,BANDA,31/02/15/001
264,PLATEAU,NORTHERN,BASSA,Zabolo,ZALLAKI,31/02/15/002
265,PLATEAU,NORTHERN,BASSA,Zabolo,ZALLAKI,31/02/15/003
266,PLATEAU,NORTHERN,BASSA,Zabolo,SAYA,31/02/15/004
267,PLATEAU,NORTHERN,BASSA,Zabolo,SIKA,31/02/15/005
268,PLATEAU,NORTHERN,BASSA,Zabolo,ZABOLO,31/02/15/006
269,PLATEAU,NORTHERN,BASSA,Zabolo,FUSKAN MATA,31/02/15/007
270,PLATEAU,NORTHERN,BASSA,Zabolo,ZABOLO,31/02/15/008
271,PLATEAU,NORTHERN,BASSA,Zabolo,SAYA,31/02/15/009
272,PLATEAU,NORTHERN,BASSA,Zobwo,MARKET,31/02/16/001
273,PLATEAU,NORTHERN,BASSA,Zobwo,TAFI GANA,31/02/16/002
274,PLATEAU,NORTHERN,BASSA,Zobwo,ZOGU,31/02/16/003
275,PLATEAU,NORTHERN,BASSA,Zobwo,KPARI CHINGE,31/02/16/004
276,PLATEAU,NORTHERN,BASSA,Zobwo,MARKET,31/02/16/005
277,PLATEAU,CENTRAL,BOKKOS,Bokkos,SHUKUR I,31/03/01/001
278,PLATEAU,CENTRAL,BOKKOS,Bokkos,TAKAI I,31/03/01/002
279,PLATEAU,CENTRAL,BOKKOS,Bokkos,UNG. HAUSAWA,31/03/01/003
280,PLATEAU,CENTRAL,BOKKOS,Bokkos,PRY. SCHOOL BOT,31/03/01/004
281,PLATEAU,CENTRAL,BOKKOS,Bokkos,PRIM. SCHOOL MANDARKE,31/03/01/005
282,PLATEAU,CENTRAL,BOKKOS,Bokkos,PRIM. SCHOOL MATOL,31/03/01/006
283,PLATEAU,CENTRAL,BOKKOS,Bokkos,PRIM. SCHOOL RUWI,31/03/01/007
284,PLATEAU,CENTRAL,BOKKOS,Bokkos,UNG.SARKI I,31/03/01/008
285,PLATEAU,CENTRAL,BOKKOS,Bokkos,DAKANUNG,31/03/01/009
286,PLATEAU,CENTRAL,BOKKOS,Bokkos,SHUKUR II,31/03/01/010
287,PLATEAU,CENTRAL,BOKKOS,Bokkos,TAKAI II,31/03/01/011
288,PLATEAU,CENTRAL,BOKKOS,Bokkos,UNG. HAUSAWA,31/03/01/012
289,PLATEAU,CENTRAL,BOKKOS,Bokkos,UNG.SARKI  II,31/03/01/013
290,PLATEAU,CENTRAL,BOKKOS,Butura,PRIM. SCHOOL. BUTURA GIDA,31/03/02/001
291,PLATEAU,CENTRAL,BOKKOS,Butura,PRIM. SCHOOL MAIYANGA,31/03/02/002
292,PLATEAU,CENTRAL,BOKKOS,Butura,PRIM. SCH. MAIKATAKO,31/03/02/003
293,PLATEAU,CENTRAL,BOKKOS,Butura,"PRIM. SCHOOL, KUNET",31/03/02/004
294,PLATEAU,CENTRAL,BOKKOS,Butura,"PRIMARY SCHOOL., VET",31/03/02/005
295,PLATEAU,CENTRAL,BOKKOS,Butura,"PRIM. SCHOOL, BUTURA KAMPANI",31/03/02/006
296,PLATEAU,CENTRAL,BOKKOS,Butura,SAF KUBA,31/03/02/007
297,PLATEAU,CENTRAL,BOKKOS,Butura,UNG. KWANO,31/03/02/008
298,PLATEAU,CENTRAL,BOKKOS,Butura,BUT,31/03/02/009
